Dex #,Name,Primary Type,Secondary Type,Ability 1,Ability 2,Hidden Ability,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,BST,Generation,Starter,Psuedo-Legendary,Alolan,Galarian,Hisuian,Paldean,Sub-Legendary,Legendary,Mythical,Ultra Beast,Paradox,Mega,Gigantamax,Terastal,Ranking,Ranking Gen
1,Bulbasaur,Grass,Poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,318,Gen I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LC,SS
2,Ivysaur,Grass,Poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,405,Gen I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NFE,SS
3,G-Max Venusaur,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,525,Gen VIII,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,AG,SS
3,Mega Venusaur,Grass,Poison,Thick Fat,,,80,100,123,122,120,80,625,Gen VI,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,UUBL,SM
3,Venusaur,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,525,Gen I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,UU,SS
4,Charmander,Fire,,Blaze,,Solar Power,39,52,43,60,50,65,309,Gen I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LC,SV
5,Charmeleon,Fire,,Blaze,,Solar Power,58,64,58,80,65,80,405,Gen I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NFE,SV
6,Charizard,Fire,Flying,Blaze,,Solar Power,78,84,78,109,85,100,534,Gen I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PU,SV
6,G-Max Charizard,Fire,Flying,Blaze,,Solar Power,78,84,78,109,85,100,534,Gen VIII,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,AG,SS
6,Mega Charizard X,Fire,Dragon,Tough Claws,,,78,130,111,130,85,100,634,Gen VI,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OU,SM
